"rok","prumerna_mzda","nazev_odvetvi"
2013,45234,Peněžnictví a pojišťovnictví
2013,30274,"Profesní, vědecké a technické činnosti"
2013,22074,Stavebnictví
2013,31686,Těžba a dobývání
2013,13115,"Ubytování, stravování a pohostinství"
2013,22204,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2013,26294,Veřejná správa a obrana; povinné sociální zabezpečení
2013,40300,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2013,22280,Vzdělávání
2013,23184,Zásobování vodou; činnosti související s odpady a sanacemi
2013,23652,Zdravotní a sociální péče
2013,20207,"Zemědělství, lesnictví, rybářství"
2013,24562,Zpracovatelský průmysl
2014,16191,Administrativní a podpůrné činnosti
2014,21812,Činnosti v oblasti nemovitostí
2014,23600,Doprava a skladování
2014,46875,Informační a komunikační činnosti
2014,20119,"Kulturní, zábavní a rekreační činnosti"
2014,18037,Ostatní činnosti
2014,47000,Peněžnictví a pojišťovnictví
2014,31094,"Profesní, vědecké a technické činnosti"
2014,22605,Stavebnictví
2014,31370,Těžba a dobývání
2014,13429,"Ubytování, stravování a pohostinství"
2014,22907,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
2014,27105,Veřejná správa a obrana; povinné sociální zabezpečení
2014,40951,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
2014,22693,Vzdělávání
2014,23846,Zásobování vodou; činnosti související s odpady a sanacemi
2014,24256,Zdravotní a sociální péče
2014,20952,"Zemědělství, lesnictví, rybářství"
2014,25308,Zpracovatelský průmysl
2015,16560,Administrativní a podpůrné činnosti
2015,22569,Činnosti v oblasti nemovitostí
2015,24370,Doprava a skladování
2015,47833,Informační a komunikační činnosti
2015,20851,"Kulturní, zábavní a rekreační činnosti"
2015,18601,Ostatní činnosti
2015,47077,Peněžnictví a pojišťovnictví
2015,32029,"Profesní, vědecké a technické činnosti"
2015,23586,Stavebnictví
2015,31540,Těžba a dobývání
2015,14198,"Ubytování, stravování a pohostinství"
2015,23913,Velkoobchod a maloobchod; opravy a údržba motorových vozidel
