"rok","odvetvi","prumerna_mzda","potravina_nazev","potravina_prum_cena"
2006,Zpracovatelský průmysl,18277,"Pivo výčepní, světlé, lahvové",8.0
2006,Stavebnictví,17644,"Pivo výčepní, světlé, lahvové",8.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,"Pivo výčepní, světlé, lahvové",8.0
2006,"Ubytování, stravování a pohostinství",11106,Pomeranče,25.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Pomeranče,25.0
2006,Těžba a dobývání,24018,Pomeranče,25.0
2006,Zpracovatelský průmysl,18277,Pomeranče,25.0
2006,Stavebnictví,17644,Pomeranče,25.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Pomeranče,25.0
2006,"Zemědělství, lesnictví, rybářství",14421,Pomeranče,25.0
2006,"Profesní, vědecké a technické činnosti",23106,Pomeranče,25.0
2006,Informační a komunikační činnosti,34942,Pomeranče,25.0
2006,Doprava a skladování,18994,Pomeranče,25.0
2006,Zásobování vodou; činnosti související s odpady a sanacemi,18241,Pomeranče,25.0
2006,Zdravotní a sociální péče,17974,Pomeranče,25.0
2006,Peněžnictví a pojišťovnictví,39353,Pomeranče,25.0
2006,Ostatní činnosti,14955,Pomeranče,25.0
2006,Činnosti v oblasti nemovitostí,17551,Pomeranče,25.0
2006,Vzdělávání,18197,Pomeranče,25.0
2006,Administrativní a podpůrné činnosti,13414,Pomeranče,25.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Pomeranče,25.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Pomeranče,25.0
2006,Administrativní a podpůrné činnosti,13414,Přírodní minerální voda uhličitá,8.0
2006,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",28477,Přírodní minerální voda uhličitá,8.0
2006,Veřejná správa a obrana; povinné sociální zabezpečení,22853,Přírodní minerální voda uhličitá,8.0
2006,"Ubytování, stravování a pohostinství",11106,Přírodní minerální voda uhličitá,8.0
2006,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,17507,Přírodní minerální voda uhličitá,8.0
2006,Těžba a dobývání,24018,Přírodní minerální voda uhličitá,8.0
2006,Zpracovatelský průmysl,18277,Přírodní minerální voda uhličitá,8.0
2006,Stavebnictví,17644,Přírodní minerální voda uhličitá,8.0
2006,"Kulturní, zábavní a rekreační činnosti",15478,Přírodní minerální voda uhličitá,8.0
2006,"Zemědělství, lesnictví, rybářství",14421,Přírodní minerální voda uhličitá,8.0
2006,"Profesní, vědecké a technické činnosti",23106,Přírodní minerální voda uhličitá,8.0
2006,Informační a komunikační činnosti,34942,Přírodní minerální voda uhličitá,8.0
2006,Doprava a skladování,18994,Přírodní minerální voda uhličitá,8.0
